epochs,65,,,,,
batch_size,194,,,,,
optimizer,adamax,,,,,
learning_rate,0.003197536,,,,,
momentum,0.9,,,,,
output_init_mode,glorot_uniform,,,,,
output_dim,100,,,,,
num_filters,327,,,,,
kernel_size,2,,,,,
conv_activation_func,softplus,,,,,
conv_init_mode,ones,,,,,
conv_weight_constraint,5,,,,,
neurons,29,,,,,
dense_activation_func,hard_sigmoid,,,,,
dense_init_mode,glorot_normal,,,,,
dense_weight_constraint,3,,,,,
pool_size,5,,,,,
dropout_rate,0.2,,,,,
layers,embedding_layer,convolutional_layer,global_maxpooling_layer,dense_layer,dropout_layer,output_layer
