epochs,66,,,,,
batch_size,153,,,,,
optimizer,adamax,,,,,
learning_rate,0.002411796,,,,,
momentum,0.491517546,,,,,
output_init_mode,uniform,,,,,
output_dim,200,,,,,
num_filters1,256,,,,,
kernel_size1,1,,,,,
conv_activation_func1,elu,,,,,
conv_init_mode1,ones,,,,,
conv_weight_constraint1,4,,,,,
num_filters2,451,,,,,
kernel_size2,2,,,,,
conv_activation_func2,selu,,,,,
conv_init_mode2,uniform,,,,,
conv_weight_constraint2,5,,,,,
num_filters3,168,,,,,
kernel_size3,4,,,,,
conv_activation_func3,linear,,,,,
conv_init_mode3,normal,,,,,
conv_weight_constraint3,4,,,,,
num_filters4,72,,,,,
kernel_size4,3,,,,,
conv_activation_func4,relu,,,,,
conv_init_mode4,glorot_uniform,,,,,
conv_weight_constraint4,4,,,,,
num_filters5,293,,,,,
kernel_size5,4,,,,,
conv_activation_func5,linear,,,,,
conv_init_mode5,he_normal,,,,,
conv_weight_constraint5,4,,,,,
num_filters6,206,,,,,
kernel_size6,1,,,,,
conv_activation_func6,elu,,,,,
conv_init_mode6,glorot_normal,,,,,
conv_weight_constraint6,4,,,,,
neurons1,25,,,,,
dense_activation_func1,softsign,,,,,
dense_init_mode1,he_uniform,,,,,
dense_weight_constraint1,2,,,,,
neurons2,6,,,,,
dense_activation_func2,softsign,,,,,
dense_init_mode2,normal,,,,,
dense_weight_constraint2,4,,,,,
neurons3,3,,,,,
dense_activation_func3,softsign,,,,,
dense_init_mode3,glorot_normal,,,,,
dense_weight_constraint3,4,,,,,
neurons4,24,,,,,
dense_activation_func4,tanh,,,,,
dense_init_mode4,glorot_uniform,,,,,
dense_weight_constraint4,5,,,,,
neurons5,22,,,,,
dense_activation_func5,hard_sigmoid,,,,,
dense_init_mode5,he_normal,,,,,
dense_weight_constraint5,3,,,,,
neurons6,14,,,,,
dense_activation_func6,selu,,,,,
dense_init_mode6,zeros,,,,,
dense_weight_constraint6,3,,,,,
neurons7,13,,,,,
dense_activation_func7,softsign,,,,,
dense_init_mode7,normal,,,,,
dense_weight_constraint7,3,,,,,
neurons8,23,,,,,
dense_activation_func8,elu,,,,,
dense_init_mode8,lecun_uniform,,,,,
dense_weight_constraint8,4,,,,,
neurons9,4,,,,,
dense_activation_func9,softplus,,,,,
dense_init_mode9,glorot_uniform,,,,,
dense_weight_constraint9,3,,,,,
pool_size1,2,,,,,
pool_size2,5,,,,,
pool_size3,4,,,,,
pool_size4,3,,,,,
pool_size5,2,,,,,
dropout_rate1,0.100505492,,,,,
layers,embedding_layer,convolutional_layer,global_maxpooling_layer,dense_layer,dropout_layer,output_layer
