epochs,83,,,,,
batch_size,130,,,,,
optimizer,adamax,,,,,
learning_rate,0.002190415,,,,,
momentum,0.793369707,,,,,
output_init_mode,zeros,,,,,
output_dim,200,,,,,
num_filters,144,,,,,
kernel_size,2,,,,,
conv_activation_func,selu,,,,,
conv_init_mode,glorot_normal,,,,,
conv_weight_constraint,1,,,,,
neurons,14,,,,,
dense_activation_func,sigmoid,,,,,
dense_init_mode,lecun_uniform,,,,,
dense_weight_constraint,5,,,,,
pool_size,3,,,,,
dropout_rate,0.738194913,,,,,
layers,embedding_layer,convolutional_layer,global_maxpooling_layer,dense_layer,dropout_layer,output_layer
